,id,Region,Altitude,Productor,Price,Points,Quality,Precio_final,Calidad,Quality_map,Region_map,Productor_map
60,61,Orellana,1300,Comercializadora Múgica & Asociados S.Com.,6.8,85.75,Excelente,8.651261443779953,2.0,2.0,4,4
61,62,El Oro,1400,Goicoechea y Tapia S.L.,6.93,85.75,Excelente,8.54320810354277,2.0,2.0,0,0
62,63,Manabí,1300,Baquero & Asociados S.Coop.,6.24,85.58,Excelente,8.197869443682837,2.0,2.0,3,2
63,64,El Oro,1200,Comercializadora Múgica & Asociados S.Com.,5.85,85.58,Excelente,7.521069363117319,2.0,2.0,0,4
64,65,Zamora Chinchipe,1200,Comercializadora Múgica & Asociados S.Com.,7.85,85.58,Excelente,9.905737406191763,2.0,2.0,5,4
65,66,Sucumbios,1700,Hermanos Miranda S.C.P,5.87,85.5,Excelente,8.551765183187362,2.0,2.0,1,5
66,67,Loja,1500,Comercializadora Múgica & Asociados S.Com.,7.0,85.5,Excelente,9.446822270490193,2.0,2.0,2,4
67,68,Imbabura,1400,Hermanos Miranda S.C.P,6.36,85.5,Excelente,8.002484191622182,2.0,2.0,6,5
68,69,El Oro,1600,Comercializadora Múgica & Asociados S.Com.,7.79,85.5,Excelente,10.257423292102185,2.0,2.0,0,4
69,70,Orellana,1300,Fabián Santamaria Carlos S.L.L.,9.3,85.5,Excelente,10.829106739755636,2.0,2.0,4,7
70,71,Orellana,1700,Inmobiliaria Calderon & Asociados S.L.N.E,9.02,85.42,Excelente,11.693590390898272,2.0,2.0,4,8
71,72,Imbabura,1400,Familia Soto S.A.,7.26,85.42,Excelente,8.912505580267842,2.0,2.0,6,3
72,73,Zamora Chinchipe,1700,Goicoechea y Tapia S.L.,6.8,85.42,Excelente,8.795899401439673,2.0,2.0,5,0
73,74,El Oro,1300,Baquero & Asociados S.Coop.,8.75,85.42,Excelente,10.974428106375518,2.0,2.0,0,2
74,75,El Oro,1600,Chelo Palomar Mancebo S.A.,7.14,85.42,Excelente,9.045916119011666,2.0,2.0,0,1
75,76,Orellana,1600,Hermanos Miranda S.C.P,9.01,85.33,Excelente,11.177133986056617,2.0,2.0,4,5
76,77,Sucumbios,1500,Comercializadora Múgica & Asociados S.Com.,8.22,85.33,Excelente,10.671892385148654,2.0,2.0,1,4
77,78,Sucumbios,1600,Comercializadora Múgica & Asociados S.Com.,5.43,85.33,Excelente,7.703616819145178,2.0,2.0,1,4
78,79,El Oro,1400,Baquero & Asociados S.Coop.,9.36,85.33,Excelente,10.837171291241672,2.0,2.0,0,2
79,80,El Oro,1700,Comercializadora Múgica & Asociados S.Com.,5.01,85.33,Excelente,7.093101508901481,2.0,2.0,0,4
80,81,Zamora Chinchipe,1400,Inmobiliaria Calderon & Asociados S.L.N.E,5.89,85.33,Excelente,8.255336966063316,2.0,2.0,5,8
81,82,Manabí,1200,Goicoechea y Tapia S.L.,7.44,85.33,Excelente,8.879505438209101,2.0,2.0,3,0
82,83,Zamora Chinchipe,1400,Inmobiliaria Calderon & Asociados S.L.N.E,8.04,85.33,Excelente,9.61634877399397,2.0,2.0,5,8
83,84,Loja,1700,Hermanos Miranda S.C.P,5.13,85.25,Excelente,7.282806447658626,2.0,2.0,2,5
84,85,Loja,1300,Chelo Palomar Mancebo S.A.,7.16,85.25,Excelente,8.929432549563497,2.0,2.0,2,1
85,86,Loja,1600,Inmobiliaria Calderon & Asociados S.L.N.E,6.71,85.25,Excelente,8.413598143174818,2.0,2.0,2,8
86,87,Manabí,1300,Teófilo Villanueva Riquelme S.L.,5.2,85.17,Excelente,6.990486595973129,2.0,2.0,3,9
87,88,Imbabura,1500,Familia Serra S.L.,7.49,85.17,Excelente,9.021578514182167,2.0,2.0,6,6
88,89,Orellana,1500,Inmobiliaria Calderon & Asociados S.L.N.E,9.39,85.08,Excelente,10.717405684915507,2.0,2.0,4,8
89,90,Manabí,1700,Comercializadora Múgica & Asociados S.Com.,8.12,85.08,Excelente,10.018218706334618,2.0,2.0,3,4
90,91,Zamora Chinchipe,1300,Comercializadora Múgica & Asociados S.Com.,6.72,85.08,Excelente,9.013805884792403,2.0,2.0,5,4
91,92,Imbabura,1500,Familia Soto S.A.,8.85,85.08,Excelente,10.368078863897527,2.0,2.0,6,3
92,93,El Oro,1500,Inmobiliaria Calderon & Asociados S.L.N.E,6.78,85.08,Excelente,9.108584400376447,2.0,2.0,0,8
93,94,Orellana,1200,Comercializadora Múgica & Asociados S.Com.,5.81,85.08,Excelente,7.660106570580404,2.0,2.0,4,4
94,95,Zamora Chinchipe,1500,Comercializadora Múgica & Asociados S.Com.,5.61,85.08,Excelente,7.79167886700142,2.0,2.0,5,4
95,96,Loja,1300,Comercializadora Múgica & Asociados S.Com.,7.88,85.08,Excelente,9.514336893528792,2.0,2.0,2,4
96,97,El Oro,1400,Hermanos Miranda S.C.P,8.69,85.0,Excelente,10.665276691884804,2.0,2.0,0,5
97,98,Imbabura,1300,Chelo Palomar Mancebo S.A.,9.13,85.0,Excelente,10.911965413841045,2.0,2.0,6,1
98,99,Sucumbios,1700,Chelo Palomar Mancebo S.A.,6.48,85.0,Excelente,8.905731407103138,2.0,2.0,1,1
99,100,Zamora Chinchipe,1300,Familia Serra S.L.,8.56,85.0,Excelente,9.906014745358538,2.0,2.0,5,6
100,101,Sucumbios,1300,Comercializadora Múgica & Asociados S.Com.,5.73,85.0,Excelente,7.2790310434094625,2.0,2.0,1,4
101,102,Zamora Chinchipe,1400,Comercializadora Múgica & Asociados S.Com.,6.35,85.0,Excelente,8.008924093123767,2.0,2.0,5,4
102,103,Loja,1600,Hermanos Miranda S.C.P,7.75,85.0,Excelente,9.793684989400598,2.0,2.0,2,5
103,104,Zamora Chinchipe,1600,Baquero & Asociados S.Coop.,6.88,85.0,Excelente,8.80318562832891,2.0,2.0,5,2
104,105,Imbabura,1200,Goicoechea y Tapia S.L.,7.81,85.0,Excelente,9.950466287421719,2.0,2.0,6,0
105,106,Sucumbios,1700,Goicoechea y Tapia S.L.,7.11,85.0,Excelente,9.017815638520371,2.0,2.0,1,0
106,107,Orellana,1200,Goicoechea y Tapia S.L.,6.4,84.92,Bueno,7.479223626048405,1.0,1.0,4,0
107,108,Loja,1600,Hermanos Miranda S.C.P,5.33,84.92,Bueno,7.055400309249282,1.0,1.0,2,5
108,109,Zamora Chinchipe,1400,Hermanos Miranda S.C.P,6.96,84.92,Bueno,8.332777792673136,1.0,1.0,5,5
109,110,Zamora Chinchipe,1500,Teófilo Villanueva Riquelme S.L.,6.03,84.92,Bueno,7.7084628298745,1.0,1.0,5,9
110,111,Imbabura,1400,Teófilo Villanueva Riquelme S.L.,7.22,84.92,Bueno,8.627431236750295,1.0,1.0,6,9
111,112,Imbabura,1500,Goicoechea y Tapia S.L.,5.59,84.92,Bueno,6.9842179621599865,1.0,1.0,6,0
112,113,Imbabura,1500,Familia Serra S.L.,5.2,84.92,Bueno,6.971823925583169,1.0,1.0,6,6
113,114,Orellana,1300,Baquero & Asociados S.Coop.,6.53,84.92,Bueno,7.875592870663464,1.0,1.0,4,2
114,115,Zamora Chinchipe,1200,Comercializadora Múgica & Asociados S.Com.,8.05,84.92,Bueno,9.719684999799243,1.0,1.0,5,4
115,116,Manabí,1200,Goicoechea y Tapia S.L.,6.84,84.83,Bueno,8.252556108097917,1.0,1.0,3,0
116,117,Imbabura,1600,Chelo Palomar Mancebo S.A.,7.26,84.83,Bueno,8.820736643926645,1.0,1.0,6,1
117,118,Loja,1400,Goicoechea y Tapia S.L.,6.63,84.83,Bueno,8.496450485436203,1.0,1.0,2,0
118,119,Manabí,1600,Comercializadora Múgica & Asociados S.Com.,6.65,84.83,Bueno,7.906432524917823,1.0,1.0,3,4
119,120,Loja,1400,Inmobiliaria Calderon & Asociados S.L.N.E,8.14,84.83,Bueno,9.527748191956281,1.0,1.0,2,8
120,121,Zamora Chinchipe,1500,Comercializadora Múgica & Asociados S.Com.,9.67,84.75,Bueno,10.652910738788252,1.0,1.0,5,4
121,122,Manabí,1300,Hermanos Miranda S.C.P,9.37,84.75,Bueno,11.01874604842027,1.0,1.0,3,5
122,123,Orellana,1700,Familia Serra S.L.,8.76,84.75,Bueno,10.560241912843304,1.0,1.0,4,6
123,124,Manabí,1500,Chelo Palomar Mancebo S.A.,5.18,84.75,Bueno,7.007766908132926,1.0,1.0,3,1
124,125,Manabí,1400,Inmobiliaria Calderon & Asociados S.L.N.E,8.55,84.75,Bueno,10.23915107769421,1.0,1.0,3,8
125,126,Sucumbios,1600,Fabián Santamaria Carlos S.L.L.,8.65,84.67,Bueno,9.987521036876517,1.0,1.0,1,7
126,127,Zamora Chinchipe,1400,Chelo Palomar Mancebo S.A.,9.26,84.67,Bueno,10.107865340342547,1.0,1.0,5,1
127,128,Manabí,1400,Hermanos Miranda S.C.P,8.24,84.67,Bueno,9.842392675122603,1.0,1.0,3,5
128,129,Orellana,1500,Fabián Santamaria Carlos S.L.L.,5.59,84.67,Bueno,6.968681171057581,1.0,1.0,4,7
129,130,Imbabura,1200,Familia Serra S.L.,8.64,84.67,Bueno,10.26551789391938,1.0,1.0,6,6
130,131,Loja,1400,Familia Soto S.A.,8.52,84.67,Bueno,10.38125756187938,1.0,1.0,2,3
131,132,Orellana,1700,Inmobiliaria Calderon & Asociados S.L.N.E,6.36,84.67,Bueno,8.356397725975105,1.0,1.0,4,8
132,133,Sucumbios,1500,Chelo Palomar Mancebo S.A.,5.45,84.67,Bueno,7.186961807966535,1.0,1.0,1,1
133,134,Loja,1600,Fabián Santamaria Carlos S.L.L.,6.61,84.67,Bueno,8.266922490660479,1.0,1.0,2,7
134,135,El Oro,1200,Goicoechea y Tapia S.L.,8.68,84.67,Bueno,9.952920565179761,1.0,1.0,0,0
135,136,Zamora Chinchipe,1300,Familia Serra S.L.,6.46,84.67,Bueno,7.633420443924269,1.0,1.0,5,6
136,137,Manabí,1200,Comercializadora Múgica & Asociados S.Com.,8.38,84.67,Bueno,9.516476160888779,1.0,1.0,3,4
137,138,Imbabura,1600,Chelo Palomar Mancebo S.A.,7.29,84.67,Bueno,9.283068976504023,1.0,1.0,6,1
138,139,Sucumbios,1400,Fabián Santamaria Carlos S.L.L.,8.22,84.67,Bueno,9.401402958093417,1.0,1.0,1,7
139,140,Sucumbios,1200,Inmobiliaria Calderon & Asociados S.L.N.E,9.16,84.67,Bueno,10.45547144699455,1.0,1.0,1,8
140,141,Imbabura,1600,Hermanos Miranda S.C.P,9.91,84.67,Bueno,11.681655588224627,1.0,1.0,6,5
141,142,Loja,1300,Hermanos Miranda S.C.P,8.89,84.67,Bueno,10.025801442433002,1.0,1.0,2,5
142,143,El Oro,1700,Teófilo Villanueva Riquelme S.L.,7.26,84.67,Bueno,9.397652347049563,1.0,1.0,0,9
143,144,Loja,1600,Chelo Palomar Mancebo S.A.,6.72,84.67,Bueno,8.472985826509099,1.0,1.0,2,1
144,145,El Oro,1600,Comercializadora Múgica & Asociados S.Com.,8.18,84.58,Bueno,9.992409487000874,1.0,1.0,0,4
145,146,Zamora Chinchipe,1700,Fabián Santamaria Carlos S.L.L.,5.55,84.58,Bueno,7.160960346750969,1.0,1.0,5,7
146,147,Orellana,1500,Chelo Palomar Mancebo S.A.,5.45,84.58,Bueno,7.21258066183039,1.0,1.0,4,1
147,148,El Oro,1700,Familia Serra S.L.,5.16,84.58,Bueno,6.714519245390843,1.0,1.0,0,6
148,149,Loja,1300,Inmobiliaria Calderon & Asociados S.L.N.E,8.13,84.58,Bueno,9.585179007959804,1.0,1.0,2,8
149,150,Sucumbios,1700,Goicoechea y Tapia S.L.,9.89,84.58,Bueno,11.903238457525136,1.0,1.0,1,0
150,151,Orellana,1600,Hermanos Miranda S.C.P,9.76,84.58,Bueno,11.058135366983803,1.0,1.0,4,5
151,152,Zamora Chinchipe,1600,Familia Serra S.L.,5.05,84.58,Bueno,7.034702066826004,1.0,1.0,5,6
152,153,Imbabura,1200,Baquero & Asociados S.Coop.,8.84,84.58,Bueno,10.286775311149015,1.0,1.0,6,2
153,154,Sucumbios,1500,Hermanos Miranda S.C.P,8.43,84.58,Bueno,9.9478635036895,1.0,1.0,1,5
154,155,Zamora Chinchipe,1700,Inmobiliaria Calderon & Asociados S.L.N.E,5.1,84.58,Bueno,7.260092087868852,1.0,1.0,5,8
155,156,Orellana,1400,Familia Serra S.L.,9.19,84.58,Bueno,10.04993243001205,1.0,1.0,4,6
156,157,Manabí,1500,Inmobiliaria Calderon & Asociados S.L.N.E,8.68,84.58,Bueno,10.587693143793311,1.0,1.0,3,8
157,158,Orellana,1200,Baquero & Asociados S.Coop.,7.27,84.58,Bueno,8.787740839712296,1.0,1.0,4,2
158,159,Imbabura,1200,Hermanos Miranda S.C.P,8.62,84.5,Bueno,9.463473756196809,1.0,1.0,6,5
159,160,Zamora Chinchipe,1200,Goicoechea y Tapia S.L.,8.08,84.5,Bueno,9.30510874087423,1.0,1.0,5,0
160,161,El Oro,1400,Goicoechea y Tapia S.L.,8.83,84.5,Bueno,10.221648054886872,1.0,1.0,0,0
161,162,Zamora Chinchipe,1500,Teófilo Villanueva Riquelme S.L.,7.56,84.5,Bueno,9.144174671215186,1.0,1.0,5,9
162,163,Manabí,1600,Teófilo Villanueva Riquelme S.L.,5.26,84.5,Bueno,6.975547019687379,1.0,1.0,3,9
163,164,Loja,1700,Familia Soto S.A.,8.64,84.5,Bueno,9.846789868114149,1.0,1.0,2,3
164,165,Sucumbios,1500,Hermanos Miranda S.C.P,9.08,84.5,Bueno,11.058182011913331,1.0,1.0,1,5
165,166,El Oro,1300,Familia Soto S.A.,7.95,84.5,Bueno,9.48738873314454,1.0,1.0,0,3
166,167,El Oro,1200,Fabián Santamaria Carlos S.L.L.,5.02,84.5,Bueno,6.6918198063551,1.0,1.0,0,7
167,168,Zamora Chinchipe,1400,Baquero & Asociados S.Coop.,5.71,84.5,Bueno,6.888250706080692,1.0,1.0,5,2
168,169,Imbabura,1600,Hermanos Miranda S.C.P,7.89,84.5,Bueno,9.420115027356886,1.0,1.0,6,5
169,170,Orellana,1400,Comercializadora Múgica & Asociados S.Com.,8.88,84.5,Bueno,10.638762140705207,1.0,1.0,4,4
170,171,El Oro,1200,Teófilo Villanueva Riquelme S.L.,9.22,84.5,Bueno,10.688181397401145,1.0,1.0,0,9
171,172,Zamora Chinchipe,1700,Familia Soto S.A.,6.93,84.42,Bueno,8.73986454264192,1.0,1.0,5,3
172,173,Sucumbios,1700,Goicoechea y Tapia S.L.,9.68,84.42,Bueno,11.360666564380017,1.0,1.0,1,0
173,174,El Oro,1600,Chelo Palomar Mancebo S.A.,8.3,84.42,Bueno,10.073430093570364,1.0,1.0,0,1
174,175,Sucumbios,1700,Baquero & Asociados S.Coop.,9.15,84.42,Bueno,11.152337718122233,1.0,1.0,1,2
175,176,Zamora Chinchipe,1200,Familia Soto S.A.,8.72,84.42,Bueno,9.584215515334183,1.0,1.0,5,3
176,177,Orellana,1400,Inmobiliaria Calderon & Asociados S.L.N.E,9.68,84.42,Bueno,10.873540038126366,1.0,1.0,4,8
177,178,Zamora Chinchipe,1400,Goicoechea y Tapia S.L.,9.87,84.42,Bueno,11.620413185765145,1.0,1.0,5,0
178,179,Imbabura,1300,Fabián Santamaria Carlos S.L.L.,6.24,84.42,Bueno,7.987416845270332,1.0,1.0,6,7
179,180,Sucumbios,1200,Teófilo Villanueva Riquelme S.L.,6.75,84.33,Bueno,8.09608936908547,1.0,1.0,1,9
180,181,Manabí,1500,Chelo Palomar Mancebo S.A.,5.18,84.33,Bueno,6.645419042347896,1.0,1.0,3,1
181,182,Manabí,1400,Fabián Santamaria Carlos S.L.L.,9.9,84.33,Bueno,10.70987105586588,1.0,1.0,3,7
182,183,Orellana,1600,Fabián Santamaria Carlos S.L.L.,9.34,84.33,Bueno,11.308430105335763,1.0,1.0,4,7
183,184,El Oro,1400,Fabián Santamaria Carlos S.L.L.,6.03,84.33,Bueno,7.676313796380326,1.0,1.0,0,7
184,185,Loja,1300,Goicoechea y Tapia S.L.,6.97,84.33,Bueno,8.28619990096068,1.0,1.0,2,0
185,186,Loja,1600,Hermanos Miranda S.C.P,7.27,84.33,Bueno,8.49443721498258,1.0,1.0,2,5
186,187,Sucumbios,1600,Baquero & Asociados S.Coop.,9.72,84.33,Bueno,11.588812809958968,1.0,1.0,1,2
187,188,Orellana,1400,Comercializadora Múgica & Asociados S.Com.,9.08,84.33,Bueno,10.350796566867295,1.0,1.0,4,4
188,189,Imbabura,1300,Goicoechea y Tapia S.L.,8.94,84.33,Bueno,9.747235671195702,1.0,1.0,6,0
189,190,Manabí,1300,Chelo Palomar Mancebo S.A.,8.15,84.33,Bueno,9.332699388544972,1.0,1.0,3,1
190,191,Orellana,1200,Teófilo Villanueva Riquelme S.L.,9.42,84.33,Bueno,10.377342876314872,1.0,1.0,4,9
191,192,Manabí,1500,Fabián Santamaria Carlos S.L.L.,9.52,84.25,Bueno,11.163516068181234,1.0,1.0,3,7
192,193,Imbabura,1600,Fabián Santamaria Carlos S.L.L.,7.12,84.25,Bueno,8.839460622124637,1.0,1.0,6,7
193,194,Manabí,1400,Fabián Santamaria Carlos S.L.L.,6.04,84.25,Bueno,7.27427914724669,1.0,1.0,3,7
194,195,Zamora Chinchipe,1300,Inmobiliaria Calderon & Asociados S.L.N.E,9.35,84.25,Bueno,10.199422812546041,1.0,1.0,5,8
195,196,Orellana,1600,Teófilo Villanueva Riquelme S.L.,6.2,84.25,Bueno,7.584549404173865,1.0,1.0,4,9
196,197,El Oro,1600,Familia Soto S.A.,9.1,84.25,Bueno,10.737403767844174,1.0,1.0,0,3
197,198,Loja,1500,Goicoechea y Tapia S.L.,6.86,84.25,Bueno,8.41758996835959,1.0,1.0,2,0
198,199,Imbabura,1600,Baquero & Asociados S.Coop.,7.49,84.25,Bueno,8.896610703429452,1.0,1.0,6,2
199,200,El Oro,1200,Hermanos Miranda S.C.P,8.95,84.25,Bueno,10.152286034322117,1.0,1.0,0,5
200,201,Sucumbios,1300,Baquero & Asociados S.Coop.,5.06,84.25,Bueno,6.207264221130153,1.0,1.0,1,2
201,202,El Oro,1400,Chelo Palomar Mancebo S.A.,8.82,84.25,Bueno,10.561855952804672,1.0,1.0,0,1
202,203,Loja,1400,Familia Soto S.A.,6.88,84.25,Bueno,8.253905403275109,1.0,1.0,2,3
203,204,Orellana,1600,Chelo Palomar Mancebo S.A.,5.71,84.25,Bueno,7.062108586525916,1.0,1.0,4,1
204,205,Orellana,1700,Hermanos Miranda S.C.P,9.15,84.25,Bueno,11.1693365440203,1.0,1.0,4,5
205,206,Zamora Chinchipe,1300,Hermanos Miranda S.C.P,7.4,84.25,Bueno,8.455186549263827,1.0,1.0,5,5
206,207,Imbabura,1500,Chelo Palomar Mancebo S.A.,7.45,84.25,Bueno,8.818843692169752,1.0,1.0,6,1
207,208,Sucumbios,1500,Comercializadora Múgica & Asociados S.Com.,6.67,84.25,Bueno,8.612779774053095,1.0,1.0,1,4
208,209,Imbabura,1700,Familia Soto S.A.,8.09,84.25,Bueno,10.102056201923556,1.0,1.0,6,3
209,210,El Oro,1200,Hermanos Miranda S.C.P,9.53,84.25,Bueno,11.045668818031064,1.0,1.0,0,5
210,211,Loja,1400,Inmobiliaria Calderon & Asociados S.L.N.E,9.11,84.17,Bueno,10.199503753743034,1.0,1.0,2,8
211,212,Loja,1500,Inmobiliaria Calderon & Asociados S.L.N.E,6.25,84.17,Bueno,8.01561072160687,1.0,1.0,2,8
212,213,Zamora Chinchipe,1300,Baquero & Asociados S.Coop.,5.11,84.17,Bueno,6.905208982113713,1.0,1.0,5,2
213,214,El Oro,1300,Chelo Palomar Mancebo S.A.,7.37,84.17,Bueno,9.157163330803009,1.0,1.0,0,1
214,215,Loja,1500,Inmobiliaria Calderon & Asociados S.L.N.E,6.25,84.17,Bueno,7.550164998625771,1.0,1.0,2,8
215,216,Imbabura,1300,Inmobiliaria Calderon & Asociados S.L.N.E,9.65,84.17,Bueno,11.212702673680988,1.0,1.0,6,8
216,217,Manabí,1200,Hermanos Miranda S.C.P,7.04,84.17,Bueno,8.42605843384604,1.0,1.0,3,5
